"InternalReference","Description","ItemCategory","ItemCategory2","Department","Weight","Dimension","Length","Thickness","UsedFor","Finishing","SAD_UOM","conversion_rate","PURCHASE_UOM","Warehouse_QTY","Available_QTY","Warehouse_QTY_SG","Available_QTY_SG","PQ_QTY","PO_QTY","MinQty","reOrderQty","drawing_Ref_T1","drawing_Ref_T2","drawing_Ref_FRP","PackingReference","our_final_price","market_final_price"
"VT-100-MS-J5K","MILD STEEL Ø100MM VORTEX INHIBITOR - JIS 5K","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","6","6"
"VT-100-MS-J5K","MILD STEEL Ø100MM VORTEX INHIBITOR - JIS 5K","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","6","6"
"VT-100-MS-J5K","MILD STEEL Ø100MM VORTEX INHIBITOR - JIS 5K","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","6","6"
"VT-100-MS-PN16","MILD STEEL Ø100MM VORTEX INHIBITOR - PN16","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","32.8088","34.35"
"VT-100-MS-PN16","MILD STEEL Ø100MM VORTEX INHIBITOR - PN16","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","32.8088","34.35"
"VT-100-MS-PN16","MILD STEEL Ø100MM VORTEX INHIBITOR - PN16","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","32.8088","34.35"
"VT-100-MS-TE","MILD STEEL Ø100MM VORTEX INHIBITOR - Table E","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","24.8","24.8"
"VT-100-MS-TE","MILD STEEL Ø100MM VORTEX INHIBITOR - Table E","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","24.8","24.8"
"VT-100-MS-TE","MILD STEEL Ø100MM VORTEX INHIBITOR - Table E","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","24.8","24.8"
"VT-100-SS304-ANSI150","STAINLESS STEEL 304 Ø100MM VORTEX INHIBITOR - ANSI150","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","24","24"
"VT-100-SS304-ANSI150","STAINLESS STEEL 304 Ø100MM VORTEX INHIBITOR - ANSI150","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","24","24"
